URL,Score,Performance,Accessibility,Best Practices,SEO,FCP,LCP,CLS,FID,TBT,SI,Color Contrast,Headings,Image Alts,Link Names,Errors,Inspector Issues,Images Responsive,Image Aspect Ratio,Indexable
"/event/festivals-and-special-events/2026-west-valley-city-easter-egg-hunts/77379/",73,63,83,54,92,2740.35,26719.8,0,55,8,7846.29,0,0,1,1,0,0,1,1,1
"/event/festivals-and-special-events/2026-west-valley-city-easter-egg-plunge/77386/",73,63,83,54,92,2738.8,27123.21,0,56,6,8679.9,0,0,1,1,0,0,1,1,1
"/event/festivals-and-special-events/america250-founders-festival-at-the-washington-county-fair/71895/",73,62,83,54,92,2631.53,28024.63,0,57,7,12156.26,0,0,1,1,0,0,1,1,1
"/event/festivals-and-special-events/baby-animal-celebration-at-this-is-the-place-2026/76097/",73,63,83,54,92,2741.25,27655.37,0,59,10,8304.53,0,0,1,1,0,0,1,1,1
"/event/festivals-and-special-events/beaver-county-fair-2026/75993/",73,64,83,54,92,2739.21,23803.05,0,55,5,7254.21,0,0,1,1,0,0,1,1,1
"/event/festivals-and-special-events/beltane-festival-2026/76612/",73,63,83,54,92,2738,25878.95,0,60,18,8588.47,0,0,1,1,0,0,1,1,1
"/event/festivals-and-special-events/birds-and-brews%3a-lights-out!/77797/",73,62,83,54,92,3038.81,22529.03,0.02,55,5,7585.68,0,0,1,1,0,0,1,1,1
"/event/festivals-and-special-events/buffalo-soldiers-heritage-trail-free-opening/76110/",73,63,83,54,92,3038.75,24818.15,0,54,4,6898.55,0,0,1,1,0,0,1,1,1
"/event/festivals-and-special-events/by-the-dawns-early-light/76498/",73,63,83,54,92,3039.52,27849.07,0,55,8,6696.75,0,0,1,1,0,0,1,1,1
"/event/festivals-and-special-events/calico-bunnies-cookie-decorating-class/76978/",73,63,83,54,92,3041.37,26432.27,0,55,5,7193.35,0,0,1,1,0,0,1,1,1
"/event/festivals-and-special-events/camp-floyd-egg-scramble-2026/76257/",73,63,83,54,92,2740.9,25516.36,0,53,5,7886.85,0,0,1,1,0,0,1,1,1
"/event/festivals-and-special-events/candlelight-christmas-at-this-is-the-place-2026/76379/",73,62,83,54,92,3180.61,24267.49,0,59,9,7207.36,0,0,1,1,0,0,1,1,1
"/event/festivals-and-special-events/draper-easter-egg-hunt-2026/76743/",73,64,83,54,92,2739.42,24852.8,0.01,52,2,7158.04,0,0,1,1,0,0,1,1,1
"/event/festivals-and-special-events/dutch-john-freedom-festival/77135/",73,64,83,54,92,3044.97,21091.65,0.01,76,16,6285.59,0,0,1,1,0,0,1,1,1
"/event/festivals-and-special-events/easter-at-the-park/77800/",73,63,83,54,92,2729.51,21142.75,0,57,7,7899.45,0,0,1,1,0,0,1,1,1
